code;month;year;coder;magazine;ressort;title;type;relevance;main_sub;ai_topic_1;ai_topic_2;ai_topic_3;topic;people_1;people_2;people_3;companies_1;companies_2;companies_3;framing;eou_tam;usa_tam;enj_tam
1;3;2022;LW;Musikwoche;Live;Digitale Horizonterweiterung;Beitrag;1;2;KI;;;research;;;;Future Demand;;;0;;;
2;3;2022;LW;Musikwoche;Dossier;Branche ist offen für neue Technologien;Beitrag;1;2;KI;Algorithmen;;ticket sales;;;;Future Demand;;;2;1;1;0
3;6;2022;LW;Musikwoche;Recorded & Publishing;Songtradr übernimmt Musicube;Beitrag;1;2;KI;neuronale Netze;;music distribution;;;;Songtradr;musicube;;1;1;1;
4;10;2021;LW;Musikwoche;News;musicube zieht Finanzspritze auf ;Meldung;1;2;KI;;;music distribution;David Hoga;Holger Hübner;Agnes Chung;musicube;Next Media Accelerator;;1;1;1;
5;10;2021;LW;Musikwoche;News;Beethoven Orchester Bonn;Meldung;1;1;KI;AI;;music production;Dirk Kaftan;;;Beethoven Orchester Bonn;Modern Recordings /BMG;;0;;;0
6;11;2022;LW;Musikwoche;Die Woche;Claudia Roth setzte sich für Kreative ein;Meldung;1;2;KI;;;copyright;Claudia Roth;;;;;;0;;;
7;12;2022;LW;Musikwoche;k.A.;Vier Start-Ups bewegen sich;Beitrag;1;2;KI;;;music management;;;;connactz;WorkX Incubator;;1;;1;
8;11;2022;LW;Sound & Recording;Stories;Audio Watermarking verursacht teils hörbare Artefakte;Beitrag;1;1;Algorithmen;;;music production;Matt Montag;;;YouTube Music;Spotify;Google;-1;-1;-1;
9;12;2022;LW;Sound & Recording;Stories;Das neue Stereo – Dolby Atmos auf dem Vormarsch;Beitrag;1;1;Algorithmen;;;audio;;;;Dolby Atmos;;;1;1;1;1
10;3;2021;LW;NMZ;k.A.;Aufbruch in eine vielfältige Zukunft;Beitrag;1;2;Algorithmen;Artificial Intelligence;Machine Learning;research;;;;Hochschule für Musik und Darstellende Kunst Mannheim;;;1;;1;
11;3;2021;LW;NMZ;k.A.;Aufbruchstimmung und Begeisterung für neue Musik;Interview;1;2;KI;;;music production;Peter Florian;;;;;;-1;;;
12;5;2021;LW;NMZ;k.A.;Digitalität und Künstliche Intelligenz;Beitrag;1;2;KI;;;research;;;;HfM Trossingen;;;2;;1;
13;6;2021;LW;NMZ;k.A.;Ein Duett mit dem Geist in der Maschine;Beitrag;1;2;KI;;;research;;;;Technischen Hochschule Nürnberg;Hochschule für Musik Nürnberg;;2;;1;1
14;8;2021;LW;NMZ;k.A.;Ein sensibles, ein schwieriges Kapitel;Interview;1;2;Algorithmen;;;copyright;Moritz Eggert;Julia Reda;;;;;-2;;-1;
15;8;2021;LW;NMZ;k.A.;Gute Nacht;Kommentar;1;1;Algorithmen;;;concert management;;;;;;;-1;;;
16;12;2021;LW;NMZ;k.A.;Hervorragendes Innovationspotenzial;;1;2;KI;;;research;;;;Hochschule für Musik Nürnberg;;;1;;;
17;12;2021;LW;NMZ;k.A.;KI Service und Systeme – KISS;Beitrag;1;1;KI;Cognitive Robotics;;research;;;;HfM Trossingen;;;2;;1;
18;1;2022;LW;NMZ;k.A.;Künstliche Intelligenz in der Musikvermittlung;Interview;1;2;KI;;;research;Karl-Heinz Simon;;;Hochschule für Musik in Dresden;;;-1;;1;
19;5;2022;LW;NMZ;k.A.;Mit Don Quixote in eine hybride Zukunft;Beitrag;1;2;KI;;;music production;;;;;;;0;;;0
20;5;2022;LW;NMZ;k.A.;Unterrichten in Zeiten von Corona;Beitrag;1;2;KI;;;music production;Moritz Eggert;;;;;;-2;;-1;0
21;10;2022;LW;NMZ;k.A.;Wenn die Flucht zur tödlichen Falle wird;Kritik;1;2;KI;;;music production;;;;Theater Freiburg;;;0;;;1
22;7;2021;LW;Groove;k.A.;Adi Gelbart & Kammerensemble: Videopremiere von „Alpha’s 7th Poem”;Kritik;1;1;KI;;;music production;Adi Gelbart;;;Kammerensemble KNM Berlin;;;1;;;1
23;4;2022;LW;Groove;k.A.;Electro im Kunstpalast Düsseldorf: Nachdenken über das Identitätsspiel;Kritik;1;2;KI;;;music production;Mouse on Mars;;;Kunstpalast Düsseldorf;;;0;;;1
24;3;2021;LW;Groove;k.A.;Irakli: Die Erzählung im Hinterkopf;Beitrag;1;2;KI;;;music production;Irakli;;;;;;0;;;
25;9;2022;LW;Groove;k.A.;Lunchmeat Festival: Das Line-up steht fest;Beitrag;1;1;KI;;;music festival;;;;;;;2;;1;
26;6;2022;LW;Groove;k.A.;moers festival: Interview mit künstlerischem Leiter Tim Isfort;Interview;1;2;KI;Algorithmen;;music festival;Tim Isfort;;;;;;2;;1;1
27;4;2022;LW;Groove;k.A.;Mouse on Mars & Dodo NKishi: Tickets fürs Konzert im Kunstpalast zu gewinnen!;Meldung;1;2;KI;AI;;music production;Mouse on Mars;Dodo NKishi;;;;;0;;;
28;6;2022;LW;Groove;k.A.;Sónar Barcelona: 3×2 Festivalpässe für 176 Veranstaltungen zu gewinnen;Meldung;1;2;KI;;;music festival;;;;;;;0;;;
29;12;2022;LW;Groove;k.A.;Sónar Lisboa 2023: Erste Line-upAnkündigung;Meldung;1;2;KI;;;music festival;;;;;;;0;;;1
30;1;2022;LW;Groove;k.A.;Sónar: Vollständiges Line-Up und weitere Infos für Lissabon-Debüt bekannt;Beitrag;1;2;KI;;;music festival;;;;;;;1;;;1
31;8;2021;LW;Groove;k.A.;Trackpremiere: c/a – WEWILLHELPYOUREGROW (Hodge Remix);Kritik;1;2;KI;;;music production;Hodge;;;;;;1;;;1
32;2;2021;LW;Groove;k.A.;Motherboard: Februar 2021;Kritik;1;2;KI;;;music production;Mouse on Mars;;;;;;1;;1;1
33;9;2021;LW;Groove;k.A.;Motherboard: September 2021;Kritik;1;2;KI;AI;Algorithmen;music production;Lee Gamble;;;;;;1;;;1
1;4;2017;NR;NMZ;Pädagogik;Musikalische Metakreation als Herausforderung;Beitrag;1;1;KI ;Neuronale Netzwerke;;composing;John Biles;;;Alpha Go;International Workshop on Musical Metacreation;;1;-1;1;1
2;11;2018;NR;NMZ;Szene;Musikschule – vernetzt;Beitrag;1;2;KI;;;school of music;;;;;;;0;0;1;0
3;11;2018;NR;NMZ;Kritik;Aufstieg eines Untergehers, Partnerschaft der Maschine;Kritik;1;2;KI;;;music festival;Steven Spielberg;;;;;;-1;;;
4;3;2018;NR;NMZ;Szene;Codes in analoger und digitaler Wirklichkeit;Beitrag;1;2;Maschinelles Lernn;;;museum;;;;;;;0;;;
5;3;2018;NR;NMZ;Glossen;Tückische Vorzeichen;Kommentar;1;1;KI;;;composing;;;;;;;-1;;;
5;12;2017;NR;Sound & Recording;Story;Komponieren mit künstlicher Intelligenz;Interview;1;1;KI;;;composing;Francisco Tigre Moura;;;;;;0;;;
6;8;2017;NR;Musikwoche;Recorded & Publishing;VUT zeigt auch in Hamburg Haltung;Beitrag;1;2;KI;;;conference;;;;VUT;;;0;;;
7;3;2018;NR;Musikwoche;Dossier;Hallen glänzen digital;Beitrag;1;2;KI;;;live music;;;;;;;0;;;
